length,upper,lower,digits,symbols,repeat,sequential,entropy,endsDigit,endsSymbol,yearPattern,alphaRatio,digitRatio,symbolRatio,label
22,2,15,4,1,1,0,144.20095473690802,1,0,0,0.7727272727272727,0.18181818181818182,0.045454545454545456,1
9,5,0,3,1,0,0,54.787165571253055,0,1,0,0.5555555555555556,0.3333333333333333,0.1111111111111111,1
8,0,4,4,0,0,0,41.3594000115385,1,0,0,0.5,0.5,0.0,0
5,0,5,0,0,0,0,23.50219859070546,0,0,0,1.0,0.0,0.0,0
18,2,11,4,1,1,1,117.98259933019747,1,0,0,0.7222222222222222,0.2222222222222222,0.05555555555555555,1
11,6,3,2,0,0,0,65.49615941425563,1,0,0,0.8181818181818182,0.18181818181818182,0.0,1
23,2,16,4,1,0,0,150.75554358858565,1,0,0,0.782608695652174,0.17391304347826086,0.043478260869565216,1
6,0,5,1,0,0,0,31.019550008653873,1,0,0,0.8333333333333334,0.16666666666666666,0.0,0
16,1,10,3,2,1,0,104.8734216268422,0,1,0,0.6875,0.1875,0.125,1
8,1,2,4,1,0,0,52.4367108134211,0,1,1,0.375,0.5,0.125,1
15,11,4,0,0,0,0,85.50659577211638,0,0,0,1.0,0.0,0.0,1
8,0,5,2,1,0,0,48.69970273000271,1,0,0,0.625,0.25,0.125,1
6,0,6,0,0,0,0,28.202638308846556,0,0,0,1.0,0.0,0.0,0
5,0,5,0,0,0,0,23.50219859070546,0,0,0,1.0,0.0,0.0,0
15,0,10,4,1,1,0,91.31194261875508,1,0,0,0.6666666666666666,0.26666666666666666,0.06666666666666667,1
10,6,0,3,1,0,0,60.87462841250339,1,0,0,0.6,0.3,0.1,1
5,0,5,0,0,1,0,23.50219859070546,0,0,0,1.0,0.0,0.0,0
6,0,6,0,0,0,0,28.202638308846556,0,0,0,1.0,0.0,0.0,0
7,0,7,0,0,0,0,32.90307802698765,0,0,0,1.0,0.0,0.0,0
13,5,4,4,0,1,0,77.40455203502937,1,0,0,0.6923076923076923,0.3076923076923077,0.0,1
10,1,6,2,1,1,0,65.54588851677637,0,1,0,0.7,0.2,0.1,1
5,0,5,0,0,1,0,23.50219859070546,0,0,0,1.0,0.0,0.0,0
6,0,6,0,0,1,0,28.202638308846556,0,0,0,1.0,0.0,0.0,0
6,0,6,0,0,1,0,28.202638308846556,0,0,0,1.0,0.0,0.0,0
8,6,0,1,1,0,0,48.69970273000271,1,0,0,0.75,0.125,0.125,1
17,5,4,6,2,1,0,111.42801047851984,1,0,0,0.5294117647058824,0.35294117647058826,0.11764705882352941,1
8,1,4,2,1,0,0,52.4367108134211,0,1,0,0.625,0.25,0.125,1
7,0,7,0,0,0,0,32.90307802698765,0,0,0,1.0,0.0,0.0,0
10,5,0,4,1,1,0,60.87462841250339,0,1,1,0.5,0.4,0.1,1
6,0,0,6,0,0,0,19.931568569324174,1,0,0,0.0,1.0,0.0,0
15,0,10,4,1,0,0,91.31194261875508,1,0,0,0.6666666666666666,0.26666666666666666,0.06666666666666667,1
21,1,15,4,1,0,0,137.64636588523038,1,0,0,0.7619047619047619,0.19047619047619047,0.047619047619047616,1
8,0,8,0,0,0,0,37.60351774512874,0,0,0,1.0,0.0,0.0,0
8,1,4,2,1,1,0,52.4367108134211,0,1,0,0.625,0.25,0.125,1
4,0,4,0,0,0,0,18.80175887256437,0,0,0,1.0,0.0,0.0,0
6,0,6,0,0,0,0,28.202638308846556,0,0,0,1.0,0.0,0.0,0
8,0,7,1,0,0,0,41.3594000115385,1,0,0,0.875,0.125,0.0,0
4,0,0,4,0,0,1,13.287712379549449,1,0,0,0.0,1.0,0.0,0
14,2,7,4,1,1,0,91.76424392348693,1,0,0,0.6428571428571429,0.2857142857142857,0.07142857142857142,1
8,1,4,2,1,0,0,52.4367108134211,0,1,0,0.625,0.25,0.125,1
8,0,8,0,0,1,0,37.60351774512874,0,0,0,1.0,0.0,0.0,0
6,0,6,0,0,0,0,28.202638308846556,0,0,0,1.0,0.0,0.0,0
10,6,0,3,1,0,0,60.87462841250339,0,1,0,0.6,0.3,0.1,1
7,0,7,0,0,0,0,32.90307802698765,0,0,0,1.0,0.0,0.0,0
14,6,4,2,2,1,0,91.76424392348693,0,1,0,0.7142857142857143,0.14285714285714285,0.14285714285714285,1
15,4,6,4,1,0,0,98.31883277516457,0,1,1,0.6666666666666666,0.26666666666666666,0.06666666666666667,1
